"RESPONDED_SURVEY","RESIDENT","EVAL_MAJOR","COLLEGE_CODE1","COLLEGE_NAME1","MAJOR_CODE1","COLLEGE_CODE2","COLLEGE_NAME2","MAJOR_CODE2","SP16_ENRL_HRS_AT_CENSUS","SP16_TERM_UI_GRADED._HRS","SP16_TERM_UI_TOTAL_HOURS","ACT","ACTE","ACTM","ACTR","ACTS","AGE","DECLINETOSTATE","ETHNICITY_LOC","GENDER","HSRANK","Semester.Hours","TERM1","TOTAL_UNITS","WHITE","HS_PERCENTILE_RANK","IS_PARENT_HIGHER_ED_GRAD","TFC_LEVEL","TFC_LEVEL_GRAD","TFC_MOD_ASSIGN2015","TFC_INVITED_PREVIOUS","TFC_NONRESIDENT","TFC_STATUS","TFC_YEAR"
"N","Y","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,15,15,15,22,21,22,22,24,20,NA,"White, not of Hispanic or Latino(a) origin","M",83,37,2,59,"Y",83,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","E","College of Engineering","BIOMED_ENGR",NA,NA,NA,14,14,14,26,24,27,24,28,21,NA,"White, not of Hispanic or Latino(a) origin","M",86,84,2,95,"Y",86,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,14,14,14,24,22,26,22,24,21,NA,"White, not of Hispanic or Latino(a) origin","F",73,79,2,82,"Y",73,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","ART",NA,NA,NA,14,14,14,28,23,27,26,34,19,NA,"White, not of Hispanic or Latino(a) origin","F",35,44,2,51,"Y",35,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","HIST","A","College of Liberal Arts and Sciences","ENGL",18,14,14,NA,NA,NA,NA,NA,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,94,2,84,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","THEATRE_ARTS","A","College of Liberal Arts and Sciences","PRE_MED",16,15,15,21,16,20,23,24,18,NA,"Hispanic or Latino(a)","F",NA,13,2,50,NA,NA,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","INTD_STDS",NA,NA,NA,6,6,6,22,22,24,22,21,24,NA,"White, not of Hispanic or Latino(a) origin","F",NA,87,2,104,"Y",NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2009,2010]"
"Y","Y","Y","E","College of Engineering","BIOMED_ENGR","A","College of Liberal Arts and Sciences","PRE_MED",18,17,18,30,34,27,30,27,18,NA,"White, not of Hispanic or Latino(a) origin","M",92,15,2,26,"Y",92,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,12,9,12,19,19,17,21,18,21,NA,"White, not of Hispanic or Latino(a) origin","F",85,93,2,109,"Y",85,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","SPEECH_HEAR_SCI",NA,NA,NA,3,3,3,30,33,27,31,28,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,2,2,7,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","THEATRE_ARTS","A","College of Liberal Arts and Sciences","COMM",16,16,16,28,33,30,23,25,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,69,2,71,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","SPORT_REC_MGMT",NA,NA,NA,15,15,15,NA,NA,NA,NA,NA,22,NA,"White, not of Hispanic or Latino(a) origin","M",NA,32,2,99,"Y",NA,"N","(3,4]","(3,4]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,14,11,11,26,26,20,31,25,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,47,2,58,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,12,12,12,22,21,24,21,21,23,"Y","Race and Ethnicity unknown","M",NA,118,2,140,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","N","N","A","College of Liberal Arts and Sciences","NURS_INT",NA,NA,NA,12,12,12,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","F",NA,49,2,50,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","ACTS_INT",NA,NA,NA,16,16,16,25,25,36,16,24,20,NA,"Nonresident Alien","M",NA,43,2,45,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"Y","Y","Y","N","College of Nursing","NURS",NA,NA,NA,18,13,18,25,24,28,22,26,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,117,2,138,"Y",NA,NA,"(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","Y","N","A","College of Liberal Arts and Sciences","PHAR_INT",NA,NA,NA,12,12,12,27,28,26,27,25,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,13,2,32,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",15,15,15,NA,NA,NA,NA,NA,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,14,2,16,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","E","College of Engineering","BIOMED_ENGR","A","College of Liberal Arts and Sciences","MATH",17,16,17,31,31,33,30,28,19,NA,"White, not of Hispanic or Latino(a) origin","M",98,45,2,66,"Y",98,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","N","Y","E","College of Engineering","CIV_ENGR",NA,NA,NA,16,16,16,22,19,28,16,23,19,NA,"Nonresident Alien","F",NA,18,2,23,NA,NA,NA,"[1,1]","[1,1]","[3,3]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,12,12,12,22,21,21,20,26,23,NA,"Hispanic or Latino(a)","M",NA,117,2,113,NA,NA,NA,"(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","Y","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,14,14,14,NA,NA,NA,NA,NA,22,NA,"White, not of Hispanic or Latino(a) origin","M",NA,24,2,65,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","B","Tippie College of Business","MKTG",NA,NA,NA,8,6,8,NA,NA,NA,NA,NA,29,NA,"White, not of Hispanic or Latino(a) origin","F",NA,30,2,90,"Y",NA,"Y","(3,4]","(3,4]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,16,16,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","F",NA,41,2,47,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,12,9,9,NA,NA,NA,NA,NA,23,NA,"White, not of Hispanic or Latino(a) origin","F",NA,50,2,95,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2012,2013]"
"Y","Y","Y","B","Tippie College of Business","MGMT",NA,NA,NA,18,12,18,27,32,27,21,26,21,"Y","Race and Ethnicity unknown","M",64,76,2,102,NA,64,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","E","College of Engineering","BIOMED_ENGR",NA,NA,NA,16,9,10,29,30,28,30,27,20,NA,"Asian","F",NA,55,2,78.5,NA,NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,14,14,14,28,25,27,33,25,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,15,2,18,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","N","College of Nursing","NURS",NA,NA,NA,18,13,18,29,27,35,29,26,20,NA,"Nonresident Alien","F",NA,84,2,113,NA,NA,NA,"(2,3]","(2,3]","(3,5]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","ELEM_EDUC",NA,NA,NA,14,NA,14,28,32,28,25,25,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,101,2,117,"Y",NA,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","THERAPEUTIC_REC : SP_INCLUSIVE_REC",NA,NA,NA,12,12,12,25,25,24,26,23,20,NA,"White, not of Hispanic or Latino(a) origin","F",79,68,2,86,"Y",79,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,20,NA,"Hispanic or Latino(a)","F",58,71,2,85,NA,58,"N","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","N","College of Nursing","NURS",NA,NA,NA,15,10,15,31,36,30,31,27,22,NA,"White, not of Hispanic or Latino(a) origin","F",84,108,2,126,"Y",84,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","Y","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,15,15,15,32,33,29,31,33,19,NA,"White, not of Hispanic or Latino(a) origin","M",92,15,2,36,"Y",92,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","DANCE",NA,NA,NA,21,21,18,22,24,23,19,21,22,NA,"African American or Black","F",64,97,2,97,NA,64,"N","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","N","College of Nursing","NURS",NA,NA,NA,17,17,17,31,33,35,29,28,19,NA,"White, not of Hispanic or Latino(a) origin","F",100,16,2,55,"Y",100,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,13,13,13,25,23,26,28,24,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,7,2,12,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ART","A","College of Liberal Arts and Sciences","JRNL_MC",15,15,15,30,30,26,31,32,21,NA,"White, not of Hispanic or Latino(a) origin","F",95,83,2,101,"Y",95,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,14,14,14,34,34,35,32,35,22,NA,"White, not of Hispanic or Latino(a) origin","F",98,87,4,108,"Y",98,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENTERPRISE_LEADERSHIP",NA,NA,NA,15,9,9,22,21,18,27,23,22,NA,"White, not of Hispanic or Latino(a) origin","M",47,89,2,97,"Y",47,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","POL_SCI",NA,NA,NA,15,NA,NA,21,19,18,22,23,21,NA,"Asian","F",NA,63,2,76,NA,NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,12,12,12,28,26,28,32,26,26,NA,"White, not of Hispanic or Latino(a) origin","M",NA,88,2,134.5,"Y",NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2009,2010]"
"N","N","Y","E","College of Engineering","BIOMED_ENGR",NA,NA,NA,14,13,14,30,34,28,29,29,19,NA,"White, not of Hispanic or Latino(a) origin","M",93,15,2,40,"Y",93,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,14,10,10,23,23,26,18,24,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,14,2,16,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","B","Tippie College of Business","BUSN_STANDARD_ADM",NA,NA,NA,16,15,16,NA,NA,NA,NA,NA,21,NA,"Nonresident Alien","M",NA,48,1,50,NA,NA,NA,"(1,2]","(1,2]","(3,5]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"Y","N","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,15,15,15,28,30,29,27,27,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,51,2,52,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,15,15,15,22,22,26,19,22,20,NA,"White, not of Hispanic or Latino(a) origin","M",40,36,2,48,"Y",40,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,9,9,9,NA,NA,NA,NA,NA,24,NA,"Nonresident Alien","M",NA,50,2,114,NA,NA,NA,"(3,4]","(4,5]","[3,3]","[0,0]","[1,1]","(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ACT_SCI","A","College of Liberal Arts and Sciences","MATH",12,12,12,29,28,33,30,24,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,76,2,120,"Y",NA,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","BIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",16,16,16,30,25,30,33,32,20,NA,"Hispanic or Latino(a)","M",90,42,2,68,NA,90,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","ECON",NA,NA,NA,17,16,13,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","F",NA,11,2,7,NA,NA,NA,"[1,1]","[1,1]","(3,5]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","Y","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,17,14,14,19,17,15,20,22,18,NA,"White, not of Hispanic or Latino(a) origin","F",61,14,2,16,"Y",61,"N","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY",NA,NA,NA,15,14,11,NA,NA,NA,NA,NA,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,12,2,74,"Y",NA,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","BIOLOGY",NA,NA,NA,13,13,13,24,27,27,18,24,21,NA,"White, not of Hispanic or Latino(a) origin","M",68,66,2,70,"Y",68,"N","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","B","Tippie College of Business","BUSN_STANDARD_ADM","A","College of Liberal Arts and Sciences","ART",15,15,15,20,16,24,20,21,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,38,2,71.5,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,15,14,15,19,22,16,22,17,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,37,2,34,"Y",NA,"N","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","SPEECH_HEAR_SCI",NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,23,NA,"White, not of Hispanic or Latino(a) origin","F",NA,31,3,129,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","MATH","A","College of Liberal Arts and Sciences","COMP_SCI",18,NA,NA,25,22,26,24,29,22,NA,"White, not of Hispanic or Latino(a) origin","M",49,55,2,88,"Y",49,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"(1,2]","(2011,2012]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,15,5,5,25,22,27,20,32,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,39,2,39,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","N","Y","A","College of Liberal Arts and Sciences","SPORT_STUDIES",NA,NA,NA,14,12,14,NA,NA,NA,NA,NA,24,NA,"Nonresident Alien","F",NA,98,4,136,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]","[1,1]","(1,2]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","ECON","A","College of Liberal Arts and Sciences","IEP",0,NA,NA,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","F",NA,NA,4,NA,NA,NA,NA,"[1,1]","[1,1]","(3,5]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS","A","College of Liberal Arts and Sciences","PRE_PHYS_ASST",12,12,12,30,24,33,33,29,22,NA,"White, not of Hispanic or Latino(a) origin","M",NA,36,2,96,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","N","A","College of Liberal Arts and Sciences","SOC_WK_INT",NA,NA,NA,16,16,16,25,29,20,29,22,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,16,2,39,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","B","Tippie College of Business","BUSN_STANDARD_ADM",NA,NA,NA,12,12,12,26,30,27,24,23,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,57,2,76,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","BIOCHEM","A","College of Liberal Arts and Sciences","PRE_MED",16,17,17,33,34,30,36,30,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,15,2,35,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS","A","College of Liberal Arts and Sciences","PHAR_INT",15,15,15,NA,NA,NA,NA,NA,20,NA,"White, not of Hispanic or Latino(a) origin","M",56,38,2,44,"Y",56,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","N","A","College of Liberal Arts and Sciences","NURS_INT",NA,NA,NA,13,12,12,24,25,27,20,22,21,NA,"White, not of Hispanic or Latino(a) origin","F",62,65,2,71,"Y",62,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,14,14,14,25,25,21,28,24,19,NA,"White, not of Hispanic or Latino(a) origin","M",73,15,1,17,"Y",73,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","N","A","College of Liberal Arts and Sciences","ELEM_EDUC_INT_CLAS",NA,NA,NA,15,15,15,22,20,21,25,22,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,11,2,13,"Y",NA,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","PSYCH","A","College of Liberal Arts and Sciences","WM_STDS",12,9,10,NA,NA,NA,NA,NA,22,NA,"White, not of Hispanic or Latino(a) origin","U",NA,NA,4,15,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","N","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,15,15,15,24,20,29,23,25,20,NA,"African American or Black","M",NA,44,2,47,NA,NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","R","University College","BLS",NA,NA,NA,6,6,6,NA,NA,NA,NA,NA,52,"Y","Race and Ethnicity unknown","F",NA,119,2,123,NA,NA,NA,"(3,4]","(3,4]","(3,5]","[0,0]",NA,"(2,9]","(1981,1982]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,14,14,14,26,24,25,27,26,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,48,2,62,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","N","College of Nursing","NURS",NA,NA,NA,18,13,18,27,27,28,24,28,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,79,2,84,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","N","A","College of Liberal Arts and Sciences","NURS_INT",NA,NA,NA,14,12,14,21,27,18,20,20,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,3,2,42,"Y",NA,"N","(1,2]","(1,2]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"Y","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS","A","College of Liberal Arts and Sciences","PSYCH",15,14,14,27,29,27,26,25,21,NA,"Asian","F",NA,47,2,99,NA,NA,"N","(3,4]","(3,4]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","DANCE","A","College of Liberal Arts and Sciences","ATHL_TNG_INT",16,16,16,21,20,25,20,19,19,NA,"White, not of Hispanic or Latino(a) origin","F",59,10,2,34,"Y",59,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,17,16,17,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","F",NA,14,2,15,NA,NA,NA,"[1,1]","[1,1]","(3,5]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,16,16,16,NA,NA,NA,NA,NA,19,NA,"Hispanic or Latino(a)","F",NA,17,2,19,NA,NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","E","College of Engineering","BIOMED_ENGR",NA,NA,NA,18,17,18,29,28,29,27,32,20,NA,"White, not of Hispanic or Latino(a) origin","M",94,47,2,75,"Y",94,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","R","University College","BLS",NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,43,NA,"White, not of Hispanic or Latino(a) origin","F",NA,NA,4,52,"Y",NA,NA,"(1,2]","(1,2]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","N","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,17,17,17,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","F",NA,42,2,46,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"N","Y","Y","M","Carver College of Medicine","NUCL_MED_TECH",NA,NA,NA,12,12,12,23,21,26,23,23,23,NA,"Asian","F",NA,154,2,174,NA,NA,NA,"(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2009,2010]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMP_SCI",NA,NA,NA,17,16,17,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","M",NA,NA,4,NA,NA,NA,NA,"[1,1]","[1,1]","[3,3]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"Y","Y","Y","R","University College","BAS",NA,NA,NA,12,12,12,NA,NA,NA,NA,NA,37,NA,"White, not of Hispanic or Latino(a) origin","M",NA,9,2,69,"Y",NA,NA,"(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","ENVIR_SCI",NA,NA,NA,15,15,19,30,25,28,33,32,18,NA,"White, not of Hispanic or Latino(a) origin","F",90,15,2,19,"Y",90,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","E","College of Engineering","ELEC_ENGR",NA,NA,NA,16,15,16,32,31,33,32,31,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,83,2,100,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","ELEM_EDUC_INT_CLAS",NA,NA,NA,14,14,14,24,23,22,27,25,19,NA,"Multi-Racial","F",89,13,2,33,"Y",89,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","ECON","A","College of Liberal Arts and Sciences","IEP",0,NA,NA,NA,NA,NA,NA,NA,21,NA,"Nonresident Alien","F",NA,NA,1,NA,NA,NA,NA,"[1,1]","[1,1]","(3,5]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,14,11,12,NA,NA,NA,NA,NA,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,12,2,75,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
